"Order","Weight Category","Sample","Population","Crude Prevalence","Crude Prevalence Standard Error","Weighted Prevalence","Weighted Prevalence Standard Error","Age-Adjusted Prevalence","Age-Adjusted Prevalence Standard Error"
1,(1) Underweight (<5th percentile),.,.,.,.,.,.,.,.
1,(2) Healthy Weight (5th to <85th percentile),518,"65,277",71.94,1.68,71.83,1.82,74.97,3.22
1,(3) Overweight (85th to <95th percentile),115,"14,937",15.97,1.37,16.44,1.54,14.00,2.01
1,(4) Obesity (>95th percentile),.,.,.,.,.,.,.,.
1,(4b) Severe Obesity (>120% of the 95th percentile),.,.,.,.,.,.,.,.
2,Totals:,720,"90,878",,,,,,
3,Query Version: IQVIA,,,,,,,,
4,Query Parameters: AGE RACE SEX GEOGRAPHY YEAR,,,,,,,,
5,"AGE: (02 - 04, 05 - 09, 10 - 14, 15 - 17, 18 - 19)",,,,,,,,
6,"SEX: (Male, Female)",,,,,,,,
7,"RACE: (White, Black, Asian, Other)",,,,,,,,
8,RACE Suppressed: (Asian),,,,,,,,
9,"RACE Imputed: 11.53% of race values were imputed. Please be advised, prevalence estimates may incur additional bias with imputed race values. Extreme caution is recommended when the proportion of imputed race values exceeds 40%.",,,,,,,,
10,Geography: (37273),,,,,,,,
11,Years: 2016 - 2018,,,,,,,,
12,Weighting cells were collapsed for: (Age),,,,,,,,
13,AGE adjusted: (Yes),,,,,,,,
14,Error Codes: (One or more rows has suppressed results. Percentages are not available for all results due to suppression constraints.),,,,,,,,
15,Technical Documentation: See https://github.com/NORC-UChicago/CODI-PQ for more information and full details on data sources and methodologies.,,,,,,,,
16,"Query Date: Thursday, November 4, 2021 10:17:09 AM",,,,,,,,
17,"Suggested Citation: AEMR-US version 5 OMOP 5 [Aug 2019 Release] accessed through the E360TM Software-as-a-Service (SaaS) Platform. Accessed through prevalence query on Thursday, November 4, 2021 10:17:09 AM",,,,,,,,
18,Caveats,,,,,,,,
19,"Children with either missing or invalid age, sex, height, weight, or geography are not included in counts and prevalence estimates.",,,,,,,,
20,The method used to calculate the standard errors are documented in the technical documentation.,,,,,,,,
21,"The population estimates are based on age-race-sex-location specific counts from the 2014-2018 American Community Survey Five-year Estimates released by the Census Bureau on December 19, 2019.",,,,,,,,
22,The method used to calculate age-adjusted prevalence is documented in the technical documentation.,,,,,,,,
