Order,Weight Category,Sample,Population,Crude Prevalence,Crude Prevalence Standard Error,Weighted Prevalence,Weighted Prevalence Standard Error,Age-Adjusted Prevalence,Age-Adjusted Prevalence Standard Error
1,(1) Underweight (<5th percentile),"3,482","46,345",3.74,0.06,3.96,0.09,3.96,0.08
1,(2) Healthy Weight (5th to <85th percentile),"57,552","724,386",61.87,0.16,61.97,0.21,61.98,0.21
1,(3) Overweight (85th to <95th percentile),"15,423","192,347",16.58,0.12,16.45,0.16,16.45,0.16
1,(4) Obesity (>95th percentile),"16,563","205,928",17.81,0.13,17.62,0.17,17.61,0.16
1,(4b) Severe Obesity (>120% of the 95th percentile),"5,267","66,993",5.66,0.08,5.73,0.1,5.73,0.1
2,Totals:,"93,020","1,169,006",,,,,,
3,Query Version: IQVIA,,,,,,,,
4,Query Parameters: AGE RACE SEX GEOGRAPHY YEAR,,,,,,,,
5,"AGE: (02 - 04, 05 - 09, 10 - 14, 15 - 17, 18 - 19)",,,,,,,,
6,SEX: (Female),,,,,,,,
7,"RACE: (White, Black, Asian, Other)",,,,,,,,
8,RACE Suppressed: (None),,,,,,,,
9,"RACE Imputed: 14.88% of race values were imputed. Please be advised, prevalence estimates may incur additional bias with imputed race values. Extreme caution is recommended when the proportion of imputed race values exceeds 40%.",,,,,,,,
10,Geography: (37) North Carolina,,,,,,,,
11,Year: 2017,,,,,,,,
12,Weighting cells were collapsed for: (Geography),,,,,,,,
13,AGE adjusted: (Yes),,,,,,,,
14,Error Codes: (None),,,,,,,,
15,Technical Documentation: See https://github.com/NORC-UChicago/CODI-PQ for more information and full details on data sources and methodologies.,,,,,,,,
16,"Query Date: Thursday, September 23, 2021 2:15:47 PM",,,,,,,,
17,"Suggested Citation: AEMR-US version 5 OMOP 5 [Aug 2019 Release] accessed through the E360TM Software-as-a-Service (SaaS) Platform. Accessed through prevalence query on Thursday, September 23, 2021 2:15:47 PM",,,,,,,,
18,Caveats,,,,,,,,
19,"Children with either missing or invalid age, sex, height, weight, or geography are not included in counts and prevalence estimates.",,,,,,,,
20,The method used to calculate the standard errors are documented in the technical documentation.,,,,,,,,
21,"The population estimates are based on age-race-sex-location specific counts from the 2014-2018 American Community Survey Five-year Estimates released by the Census Bureau on December 19, 2019.",,,,,,,,
22,The method used to calculate age-adjusted prevalence is documented in the technical documentation.,,,,,,,,
