Order,Weight Category,Sample,Population,Crude Prevalence,Crude Prevalence Standard Error,Weighted Prevalence,Weighted Prevalence Standard Error,Age-Adjusted Prevalence,Age-Adjusted Prevalence Standard Error
1,(1) Underweight (<5th percentile),"4,708","59,478",4.75,0.07,4.89,0.09,4.87,0.09
1,(2) Healthy Weight (5th to <85th percentile),"61,004","752,961",61.56,0.15,61.86,0.2,61.88,0.2
1,(3) Overweight (85th to <95th percentile),"14,412","173,322",14.54,0.11,14.24,0.14,14.24,0.14
1,(4) Obesity (>95th percentile),"18,974","231,503",19.15,0.12,19.02,0.16,19.01,0.16
1,(4b) Severe Obesity (>120% of the 95th percentile),"6,036","73,336",6.09,0.08,6.02,0.1,6.05,0.1
2,Totals:,"99,098","1,217,264",,,,,,
3,Query Version: IQVIA,,,,,,,,
4,Query Parameters: AGE RACE SEX GEOGRAPHY YEAR,,,,,,,,
5,"AGE: (02 - 04, 05 - 09, 10 - 14, 15 - 17, 18 - 19)",,,,,,,,
6,SEX: (Male),,,,,,,,
7,"RACE: (White, Black, Asian, Other)",,,,,,,,
8,RACE Suppressed: (None),,,,,,,,
9,"RACE Imputed: 14.44% of race values were imputed. Please be advised, prevalence estimates may incur additional bias with imputed race values. Extreme caution is recommended when the proportion of imputed race values exceeds 40%.",,,,,,,,
10,Geography: (37) North Carolina,,,,,,,,
11,Year: 2017,,,,,,,,
12,Weighting cells were collapsed for: (Geography),,,,,,,,
13,AGE adjusted: (Yes),,,,,,,,
14,Error Codes: (None),,,,,,,,
15,Technical Documentation: See https://github.com/NORC-UChicago/CODI-PQ for more information and full details on data sources and methodologies.,,,,,,,,
16,"Query Date: Thursday, September 23, 2021 2:13:51 PM",,,,,,,,
17,"Suggested Citation: AEMR-US version 5 OMOP 5 [Aug 2019 Release] accessed through the E360TM Software-as-a-Service (SaaS) Platform. Accessed through prevalence query on Thursday, September 23, 2021 2:13:51 PM",,,,,,,,
18,Caveats,,,,,,,,
19,"Children with either missing or invalid age, sex, height, weight, or geography are not included in counts and prevalence estimates.",,,,,,,,
20,The method used to calculate the standard errors are documented in the technical documentation.,,,,,,,,
21,"The population estimates are based on age-race-sex-location specific counts from the 2014-2018 American Community Survey Five-year Estimates released by the Census Bureau on December 19, 2019.",,,,,,,,
22,The method used to calculate age-adjusted prevalence is documented in the technical documentation.,,,,,,,,
